Kecamatan,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus,Jumlah Puskesmas Rawat Inap,Jumlah Puskesmas Non Rawat Inap,Jumlah Klinik Pratama,Jumlah Posyandu,Tahun
Besuki,0,0,0,2,0,53,2020
Bandung,1,0,1,0,2,62,2020
Pakel,0,0,1,1,0,66,2020
Campur Darat,0,0,1,0,0,48,2020
Tanggung Gunung,0,0,1,0,0,35,2020
Kalidawir,0,0,1,1,1,82,2020
Pucang Laban,0,0,1,0,0,31,2020
Rejotangan,0,0,2,0,0,91,2020
Ngunut,3,0,1,1,2,85,2020
Sumbergempol,0,0,0,2,1,73,2020
Boyolangu,0,0,2,0,3,90,2020
Tulungagung,3,2,0,2,4,92,2020
Kedungwaru,3,1,0,2,2,85,2020
Ngantru,0,0,1,1,1,58,2020
Karangrejo,0,0,1,1,1,50,2020
Kauman,2,0,1,0,2,59,2020
Gondang,0,0,1,1,1,69,2020
Pager Wojo,0,0,1,0,2,50,2020
Sendang,0,0,1,1,0,60,2020
Tulungagung,12,3,17,15,22,1239,2020
Besuki,0,0,0,2,0,53,2021
Bandung,1,0,1,0,2,62,2021
Pakel,0,0,1,1,0,66,2021
Campurdarat,0,0,1,0,0,48,2021
Tanggunggunung,0,0,1,0,0,35,2021
Kalidawir,0,0,1,1,3,82,2021
Pucanglaban,0,0,1,0,0,31,2021
Rejotangan,0,0,2,0,1,91,2021
Ngunut,3,0,1,1,4,85,2021
Sumbergempol,0,0,0,2,1,73,2021
Boyolangu,0,0,2,0,4,90,2021
Tulungagung,2,2,0,2,8,92,2021
Kedungwaru,2,1,0,2,1,85,2021
Ngantru,0,0,1,1,1,58,2021
Karangrejo,0,0,1,1,1,50,2021
Kauman,1,0,1,0,4,59,2021
Gondang,0,0,1,1,3,69,2021
Pagerwojo,0,0,1,0,1,50,2021
Sendang,0,0,1,1,0,60,2021
Tulungagung,9,3,17,15,34,1 239,2021
Besuki,0,0,0,2,1,53,2022
Bandung,1,0,1,0,2,62,2022
Pakel,0,0,1,1,0,66,2022
Campur Darat,1,0,1,0,0,48,2022
Tanggung Gunung,0,0,1,0,0,35,2022
Kalidawir,0,0,1,1,3,82,2022
Pucang Laban,0,0,1,0,0,31,2022
Rejotangan,0,0,2,0,1,91,2022
Ngunut,3,0,1,1,4,85,2022
Sumbergempol,0,0,0,2,1,73,2022
Boyolangu,0,0,2,0,4,90,2022
Tulungagung,2,2,0,2,10,92,2022
Kedungwaru,2,1,0,2,1,86,2022
Ngantru,0,0,1,1,2,58,2022
Karangrejo,0,0,1,1,1,51,2022
Kauman,1,0,1,0,4,59,2022
Gondang,0,0,1,1,4,69,2022
Pager Wojo,0,0,1,0,0,50,2022
Sendang,0,0,1,1,0,61,2022
Tulungagung,10,3,17,15,38,1242,2022
Besuki,0,0,0,2,1,53,2023
Bandung,1,0,1,0,2,62,2023
Pakel,0,0,1,1,0,66,2023
Campur Darat,1,0,1,0,0,48,2023
Tanggung Gunung,0,0,1,0,0,35,2023
Kalidawir,0,0,1,1,3,82,2023
Pucang Laban,0,0,1,0,0,31,2023
Rejotangan,0,0,2,0,1,91,2023
Ngunut,3,0,1,1,4,85,2023
Sumbergempol,0,0,0,2,1,73,2023
Boyolangu,0,0,2,0,4,90,2023
Tulungagung,2,2,0,2,10,92,2023
Kedungwaru,2,1,0,2,1,86,2023
Ngantru,0,0,1,1,2,58,2023
Karangrejo,0,0,1,1,1,51,2023
Kauman,1,0,1,0,4,59,2023
Gondang,0,0,1,1,4,69,2023
Pager Wojo,0,0,1,0,0,50,2023
Sendang,0,0,1,1,0,61,2023
Tulungagung,10,3,17,15,38,1242,2023
