Kecamatan,Laki-laki,Perempuan,Jumlah,Tahun
Besuki,17511,17528,35039,2016
Bandung,20973,22370,43343,2016
Pakel,24324,25815,50139,2016
Campurdarat,28288,28582,56870,2016
Tanggunggunung,11859,12608,24467,2016
Kalidawir,29566,34827,64393,2016
Pucanglaban,10619,11612,22231,2016
Rejotangan,35171,37946,73117,2016
Ngunut,37569,40631,78200,2016
Sumbergempol,31981,34690,66671,2016
Boyolangu,40055,41645,81700,2016
Tulungagung,32105,34020,66125,2016
Kedungwaru,44575,45157,89732,2016
Ngantru,27552,27653,55205,2016
Karangrejo,19465,20191,39656,2016
Kauman,24700,25148,49848,2016
Gondang,26763,27824,54587,2016
Pagerwojo,15147,15399,30546,2016
Sendang,21968,22264,44232,2016
Kab. Tulungagung,500191,525910,1026101,2016
Besuki,17583,17599,35182,2017
Bandung,21037,22435,43472,2017
Pakel,24479,25976,50455,2017
Campurdarat,28515,28808,57323,2017
Tanggunggunung,11936,12688,24624,2017
Kalidawir,29593,34855,64448,2017
Pucanglaban,10633,11626,22259,2017
Rejotangan,35357,38144,73501,2017
Ngunut,37784,40859,78643,2017
Sumbergempol,32175,34898,67073,2017
Boyolangu,40440,42039,82479,2017
Tulungagung,32145,34059,66204,2017
Kedungwaru,44883,45462,90345,2017
Ngantru,27764,27863,55627,2017
Karangrejo,19490,20215,39705,2017
Kauman,24730,25178,49908,2017
Gondang,26778,27834,54612,2017
Pagerwojo,15172,15421,30593,2017
Sendang,22022,22315,44337,2017
Kab. Tulungagung,502516,528274,1030790,2017
Besuki,17655,17664,35319,2018
Bandung,21100,22495,43595,2018
Pakel,24631,26130,50761,2018
Campurdarat,28741,29027,57768,2018
Tanggunggunung,12013,12764,24777,2018
Kalidawir,29617,34872,64489,2018
Pucanglaban,10646,11636,22282,2018
Rejotangan,35541,38329,73870,2018
Ngunut,37997,41075,79072,2018
Sumbergempol,32368,35094,67462,2018
Boyolangu,40823,42424,83247,2018
Tulungagung,32182,34086,66268,2018
Kedungwaru,45186,45756,90942,2018
Ngantru,27976,28066,56042,2018
Karangrejo,19514,20233,39747,2018
Kauman,24759,25198,49957,2018
Gondang,26788,27837,54625,2018
Pagerwojo,15194,15440,30634,2018
Sendang,22073,22360,44433,2018
Kab. Tulungagung,504804,530486,1035290,2018
Besuki,17712,17727,35439,2019
Bandung,21145,22549,43694,2019
Pakel,24766,26277,51043,2019
Campurdarat,28946,29240,58186,2019
Tanggunggunung,12079,12838,24917,2019
Kalidawir,29617,34880,64497,2019
Pucanglaban,10651,11643,22294,2019
Rejotangan,35697,38505,74202,2019
Ngunut,38180,41282,79462,2019
Sumbergempol,32535,35285,67820,2019
Boyolangu,41177,42803,83980,2019
Tulungagung,32194,34106,66300,2019
Kedungwaru,45457,46041,91498,2019
Ngantru,28166,28264,56430,2019
Karangrejo,19522,20245,39767,2019
Kauman,24768,25212,49980,2019
Gondang,26779,27832,54611,2019
Pagerwojo,15204,15454,30658,2019
Sendang,22107,22399,44506,2019
Kab. Tulungagung,506702,532582,1039284,2019
Besuki,17771,17784,35555,2020
Bandung,21191,22597,43788,2020
Pakel,24901,26421,51322,2020
Campurdarat,29152,29448,58600,2020
Tanggunggunung,12147,12910,25057,2020
Kalidawir,29619,34880,64499,2020
Pucanglaban,10656,11648,22304,2020
Rejotangan,35854,38673,74527,2020
Ngunut,38364,41480,79844,2020
Sumbergempol,32704,35466,68170,2020
Boyolangu,41535,43173,84708,2020
Tulungagung,32204,34117,66321,2020
Kedungwaru,45734,46314,92048,2020
Ngantru,28358,28456,56814,2020
Karangrejo,19530,20254,39784,2020
Kauman,24777,25221,49998,2020
Gondang,26768,27821,54589,2020
Pagerwojo,15215,15465,30680,2020
Sendang,22141,22433,44574,2020
Kab. Tulungagung,508621,534561,1043182,2020
